customer_id,monthly_spend,sessions_last_30d,avg_session_minutes,support_tickets,account_age_days,region,device_type,plan_tier,signup_channel,is_premium,churned
100113,18.61,12,10.56,1,1409,west,web,pro,organic,1,0
100114,35.6,16,20.69,1,557,south,web,pro,sales,1,0
100115,46.7,11,16.37,2,1270,south,ios,basic,paid,0,0
100116,56.21,9,19.14,3,456,west,ios,pro,organic,1,0
100117,102.92,12,7.42,0,350,south,android,basic,organic,0,0
100118,95.88,9,17.27,2,1205,midwest,ios,basic,organic,0,0
100119,126.35,11,9.14,0,1504,,android,basic,organic,0,0
100120,115.1,11,7.31,2,1656,west,android,basic,organic,0,0
100121,126.59,18,15.19,3,847,midwest,android,basic,organic,0,0
100122,109.9,10,15.14,2,283,south,android,basic,partner,0,0
100123,95.55,16,14.27,2,992,midwest,ios,basic,sales,0,0
100124,127.58,15,17.59,0,1235,northeast,web,basic,organic,0,0
100125,121.1,13,18.37,2,1749,west,android,basic,paid,0,0
100126,101.54,15,21.35,1,228,west,ios,pro,organic,1,0
100127,133.76,7,8.05,3,1192,midwest,android,basic,organic,0,0
100128,5.0,15,21.51,3,936,midwest,ios,pro,organic,1,0
100129,77.54,19,23.41,0,1071,midwest,web,basic,organic,0,0
100130,76.99,13,12.17,1,194,midwest,android,basic,sales,0,0
100131,129.5,13,5.66,2,59,west,web,pro,,1,0
100132,144.57,13,7.08,2,1103,west,web,pro,paid,1,0
100133,35.79,12,11.69,1,382,west,android,basic,paid,0,0
100134,138.8,12,24.07,1,1116,midwest,android,basic,,0,0
100135,45.83,18,14.09,2,77,midwest,android,pro,paid,1,0
100136,46.92,7,10.91,2,1448,midwest,ios,basic,sales,0,0
100137,79.57,14,10.57,3,619,midwest,web,basic,paid,0,0
100138,76.54,15,7.39,1,828,west,android,basic,organic,0,0
100139,31.9,10,18.37,1,639,,web,pro,sales,1,0
100140,111.4,15,13.54,0,770,west,android,basic,organic,0,0
100141,112.46,10,24.5,2,968,northeast,ios,business,organic,1,0
100142,125.95,8,,2,1172,midwest,android,pro,paid,1,0
100143,72.4,19,18.15,0,1250,midwest,ios,pro,organic,1,0
100144,86.58,11,12.79,0,1782,south,ios,basic,organic,0,0
100145,86.9,15,8.54,0,347,west,android,pro,organic,1,0
100146,148.77,13,9.63,3,1572,midwest,ios,basic,paid,0,0
100147,5.0,13,7.15,0,1094,south,web,basic,organic,0,0
100148,53.55,16,18.55,0,577,south,android,basic,organic,0,0
100149,88.2,11,12.08,1,1653,northeast,android,pro,sales,1,0
100150,48.92,10,18.76,0,1281,northeast,ios,pro,organic,1,0
100151,78.7,15,,2,357,south,ios,business,organic,1,0
100152,83.46,10,12.54,1,339,south,android,basic,partner,0,0
100153,64.32,14,8.15,0,1196,west,ios,business,paid,1,0
100154,90.32,8,15.51,0,1321,,android,pro,paid,1,0
100155,110.61,14,12.91,2,110,south,android,business,organic,1,0
100156,79.49,13,18.51,1,1141,west,ios,pro,organic,1,0
100157,71.68,9,10.42,2,970,,android,basic,paid,0,0
100158,82.03,18,17.08,3,1745,south,ios,business,organic,1,0
100159,87.73,7,22.2,3,1342,west,ios,pro,partner,1,0
100160,25.35,15,15.36,3,1639,northeast,android,pro,sales,1,0
100161,104.62,16,17.93,0,90,midwest,ios,basic,paid,0,0
100162,71.76,15,16.86,0,1382,northeast,ios,basic,organic,0,0
100163,133.42,9,23.49,0,620,midwest,android,basic,paid,0,0
100164,109.28,5,15.86,0,1009,south,android,basic,organic,0,0
100165,130.12,14,17.5,1,1583,west,web,basic,partner,0,0
100166,51.6,6,13.82,2,1569,west,web,business,organic,1,0
100167,74.63,15,10.13,0,429,west,android,basic,sales,0,0
100168,43.27,13,7.96,2,454,midwest,android,basic,organic,0,0
100169,62.61,19,20.33,0,1309,midwest,android,basic,organic,0,0
100170,133.08,13,8.96,1,1584,northeast,ios,basic,organic,0,0
100171,141.55,8,17.73,1,1113,midwest,web,basic,organic,0,0
100172,46.67,11,16.08,0,126,south,android,pro,paid,1,0
100173,71.5,7,18.59,1,319,south,ios,business,paid,1,0
100174,85.26,9,11.43,2,1356,midwest,android,basic,partner,0,0
100175,109.08,11,10.05,1,1342,northeast,android,basic,sales,0,0
100176,24.65,13,15.89,2,1616,south,android,pro,organic,1,0
100177,30.29,11,12.54,1,971,south,ios,basic,organic,0,0
100178,105.63,13,7.84,1,786,northeast,web,pro,organic,1,0
100179,17.83,12,23.69,0,228,south,ios,pro,sales,1,0
100180,71.92,13,10.04,1,1414,northeast,web,business,paid,1,0
100181,93.84,14,9.03,3,1710,midwest,android,basic,organic,0,0
100182,102.96,14,12.79,2,110,midwest,web,business,organic,1,0
100183,82.9,15,20.26,0,900,south,web,business,organic,1,0
100184,74.83,11,3.17,1,658,west,android,basic,sales,0,0
100185,118.4,10,19.85,3,1348,south,web,basic,organic,0,0
100186,98.27,18,9.44,1,1381,west,ios,basic,organic,0,0
100187,64.71,12,15.32,2,415,west,ios,basic,organic,0,0
100188,89.36,10,10.62,0,1715,northeast,android,business,organic,1,0
100189,101.79,12,23.96,1,272,midwest,android,basic,partner,0,0
100190,149.86,6,14.62,1,1412,midwest,ios,basic,paid,0,0
100191,116.31,5,10.46,0,1342,south,android,basic,organic,0,0
100192,131.72,10,12.49,0,317,south,web,pro,organic,1,0
100193,66.02,10,14.45,1,1222,northeast,web,business,organic,1,0
100194,69.13,16,14.89,2,508,midwest,ios,pro,paid,1,0
100195,79.53,8,16.19,0,515,northeast,android,pro,sales,1,0
100196,82.83,7,13.99,0,183,south,ios,basic,sales,0,0
100197,51.71,15,7.11,2,1350,northeast,ios,pro,sales,1,0
100198,133.57,14,12.3,0,1459,midwest,web,basic,paid,0,0
100199,119.8,11,17.03,1,923,west,web,basic,organic,0,0
100200,77.0,12,10.65,1,1403,west,ios,pro,organic,1,0
100201,111.1,8,17.36,1,647,south,ios,business,organic,1,0
100202,96.02,11,14.16,1,1030,midwest,android,pro,sales,1,0
100203,113.91,15,12.91,1,1422,west,android,pro,organic,1,0
100204,39.6,12,19.97,1,792,south,ios,basic,paid,0,0
100205,82.76,4,5.31,0,1121,west,ios,basic,partner,0,0
100206,85.91,10,10.62,1,286,west,android,basic,paid,0,0
100207,110.45,13,20.16,0,927,west,ios,pro,paid,1,0
100208,65.38,6,23.15,3,1536,northeast,web,pro,sales,1,0
100209,5.0,16,25.43,2,1398,south,android,pro,paid,1,0
100210,49.06,14,14.25,1,561,south,android,basic,partner,0,0
100211,85.8,15,16.29,2,994,northeast,android,basic,organic,0,0
100212,90.3,11,18.09,1,1126,south,web,basic,partner,0,0
100213,148.61,10,20.38,1,1691,midwest,ios,pro,paid,1,0
100214,108.98,12,15.57,1,1497,south,web,business,paid,1,0
100215,90.94,16,18.63,0,1477,northeast,ios,basic,partner,0,0
100216,86.83,18,16.3,1,1362,midwest,web,pro,organic,1,0
100217,127.75,16,16.61,0,663,south,ios,pro,paid,1,0
100218,66.76,12,9.41,2,697,midwest,web,basic,organic,0,0
100219,82.95,7,12.35,3,852,northeast,ios,basic,sales,0,0
100220,48.79,18,11.39,1,784,south,web,basic,partner,0,0
100221,139.08,8,8.06,0,1724,northeast,android,business,sales,1,0
100222,102.13,8,5.74,1,1579,south,ios,basic,organic,0,0
100223,62.53,18,11.88,0,1614,midwest,android,basic,partner,0,0
100224,83.88,10,12.68,2,1105,west,ios,basic,organic,0,0
100225,106.35,14,14.53,4,368,northeast,android,pro,organic,1,0
100226,78.97,12,16.78,0,284,midwest,ios,basic,organic,0,0
100227,68.76,17,14.94,2,515,midwest,android,business,sales,1,0
100228,64.45,16,12.72,2,1182,south,web,basic,organic,0,0
100229,100.2,14,9.42,1,675,west,android,business,organic,1,0
100230,75.11,12,18.39,0,1189,midwest,android,pro,paid,1,0
100231,71.66,10,13.49,2,1587,midwest,web,basic,sales,0,0
100232,39.9,15,11.83,0,621,west,android,pro,paid,1,0
100233,90.8,7,13.07,1,1671,south,ios,pro,sales,1,0
100234,81.48,15,10.34,1,936,west,android,basic,organic,0,0
100235,76.42,15,11.35,2,1450,west,ios,pro,paid,1,0
100236,95.16,13,11.19,1,135,northeast,android,pro,organic,1,0
100237,114.93,4,12.56,3,518,midwest,ios,pro,paid,1,0
100238,113.26,14,17.28,3,1677,south,web,pro,organic,1,0
100239,107.9,4,16.04,0,1600,west,android,pro,paid,1,0
100240,79.34,13,21.73,2,1040,west,android,basic,sales,0,0
100241,67.59,14,20.06,1,88,south,ios,basic,paid,0,0
100242,50.42,11,23.78,1,135,south,ios,basic,organic,0,0
100243,66.65,14,16.8,5,778,northeast,android,pro,partner,1,0
100244,88.71,16,16.72,3,1619,midwest,android,basic,organic,0,0
100245,59.69,16,11.56,0,698,midwest,web,basic,paid,0,0
100246,91.46,13,18.13,2,1594,west,android,pro,organic,1,0
100247,53.24,8,10.72,1,977,,ios,basic,organic,0,0
100248,28.2,10,6.65,0,268,midwest,android,basic,partner,0,0
100249,117.5,10,21.63,1,1022,northeast,android,pro,sales,1,0
100250,70.92,7,7.75,0,674,south,ios,pro,paid,1,0
100251,57.87,13,16.19,0,428,west,android,pro,partner,1,0
100252,48.62,18,9.6,2,1224,west,ios,basic,organic,0,0
100253,103.23,7,19.63,0,392,midwest,ios,pro,paid,1,0
100254,137.5,5,20.31,1,1632,west,ios,business,organic,1,0
100255,73.49,13,16.65,1,1452,south,android,basic,,0,0
100256,80.24,15,20.23,1,1414,northeast,android,basic,,0,0
100257,126.58,10,14.04,1,164,west,ios,basic,organic,0,0
100258,22.82,9,25.17,0,1730,midwest,android,business,paid,1,0
100259,158.81,18,17.73,0,903,midwest,android,basic,paid,0,0
100260,175.99,15,9.5,0,1327,,android,basic,,0,0
100261,5.0,14,14.35,0,369,northeast,ios,basic,partner,0,0
100262,84.49,9,13.24,1,1389,south,ios,business,organic,1,0
100263,62.12,10,12.75,1,595,northeast,ios,basic,organic,0,0
100264,78.47,11,5.71,4,1281,northeast,web,basic,organic,0,0
100265,72.94,15,15.93,2,520,midwest,web,business,,1,0
100266,117.22,13,7.07,0,1680,south,ios,basic,organic,0,0
100267,83.95,12,1.37,1,1284,south,android,pro,paid,1,0
100268,55.21,7,12.28,0,830,midwest,ios,basic,organic,0,0
100269,81.8,9,10.22,1,837,west,ios,basic,organic,0,0
100270,106.53,11,9.69,3,30,south,ios,basic,paid,0,0
100271,45.39,10,1.0,2,560,northeast,ios,basic,organic,0,0
100272,28.74,7,9.75,0,1426,midwest,ios,basic,organic,0,0
100273,159.74,9,13.13,2,1501,northeast,ios,pro,sales,1,0
100274,64.87,11,10.83,2,1799,northeast,android,basic,paid,0,0
100275,83.06,16,15.94,0,181,northeast,android,basic,organic,0,0
100276,73.68,12,20.96,1,473,midwest,android,pro,organic,1,0
100277,107.73,10,16.58,0,1386,midwest,android,business,organic,1,0
100278,151.82,9,19.13,2,669,south,android,basic,sales,0,0
100279,108.88,9,19.55,1,469,west,android,basic,organic,0,0
100280,33.34,14,8.91,3,528,midwest,web,basic,sales,0,1
100281,38.17,14,16.2,2,1654,south,ios,business,sales,1,0
100282,73.64,4,18.98,2,1548,midwest,android,pro,paid,1,0
100283,78.34,18,11.82,0,39,west,ios,basic,partner,0,0
100284,26.01,8,10.05,1,1517,northeast,android,basic,partner,0,0
100285,117.5,7,16.65,2,1015,west,android,basic,sales,0,0
100286,48.89,9,6.59,0,1524,northeast,android,pro,organic,1,0
100287,141.76,13,8.56,1,1131,,web,basic,organic,0,0
100288,153.54,13,10.67,1,1248,west,android,basic,sales,0,0
100289,79.06,11,16.25,1,1051,midwest,ios,basic,organic,0,0
100290,103.8,16,15.09,0,1330,west,android,pro,organic,1,0
100291,43.65,15,19.16,2,1472,west,ios,business,organic,1,0
100292,110.45,9,9.39,1,929,northeast,android,basic,organic,0,0
100293,70.07,10,9.12,3,228,northeast,web,business,organic,1,0
100294,48.86,14,16.62,0,194,midwest,android,basic,sales,0,0
100295,77.58,15,10.01,3,765,midwest,android,pro,paid,1,0
100296,71.23,17,10.98,2,867,south,ios,business,organic,1,0
100297,76.29,7,4.72,2,1558,west,ios,pro,paid,1,0
100298,122.19,14,15.45,1,88,west,web,basic,organic,0,0
100299,59.73,17,21.71,1,1603,midwest,ios,basic,paid,0,0
100300,150.46,13,8.85,0,127,midwest,ios,pro,sales,1,0
100301,40.3,10,19.11,0,912,west,android,pro,,1,0
100302,146.16,16,13.7,0,778,midwest,android,basic,partner,0,0
100303,51.41,13,5.17,0,1017,south,ios,pro,sales,1,0
100304,87.96,17,9.53,1,105,west,ios,basic,organic,0,0
100305,70.35,13,9.22,0,1382,west,android,basic,organic,0,0
100306,75.63,11,12.42,0,267,west,android,pro,paid,1,0
100307,116.85,14,16.1,1,1409,midwest,android,basic,paid,0,0
100308,141.99,11,23.24,3,1033,northeast,ios,basic,,0,0
100309,130.86,12,6.84,2,1601,south,web,basic,paid,0,0
100310,73.43,11,11.58,2,1762,northeast,ios,business,organic,1,0
100311,94.63,8,9.52,1,1523,west,ios,basic,sales,0,0
100312,59.85,9,7.66,0,830,west,web,basic,sales,0,0
100313,52.3,11,14.48,1,763,midwest,web,basic,organic,0,0
100314,46.73,15,14.01,0,1203,west,ios,basic,paid,0,0
100315,72.25,16,4.93,0,1180,south,android,basic,paid,0,0
100316,96.99,7,14.09,2,1428,west,web,basic,paid,0,0
100317,19.17,15,,2,885,midwest,ios,basic,partner,0,0
100318,86.33,11,14.06,1,848,midwest,ios,pro,organic,1,0
100319,142.58,13,20.35,2,238,midwest,android,basic,paid,0,0
100320,128.39,11,16.32,2,329,west,web,basic,organic,0,0
100321,66.93,19,14.89,3,1484,south,android,pro,,1,0
100322,37.71,8,11.36,0,1780,northeast,android,basic,organic,0,0
100323,104.55,11,14.33,3,1095,midwest,web,basic,paid,0,0
100324,5.0,8,16.82,0,639,midwest,ios,business,partner,1,0
100325,127.97,9,16.32,0,132,west,android,pro,organic,1,0
100326,80.31,9,13.5,1,106,midwest,ios,pro,organic,1,0
100327,153.93,8,15.09,2,1228,south,android,basic,sales,0,0
100328,25.83,12,7.42,1,1165,midwest,android,business,organic,1,0
100329,121.05,20,10.33,0,531,northeast,ios,basic,paid,0,0
100330,84.38,12,17.54,1,364,northeast,android,basic,organic,0,0
100331,76.08,9,18.21,0,152,west,web,pro,organic,1,0
100332,38.69,6,14.47,0,1237,northeast,android,basic,organic,0,0
100333,109.45,10,21.39,0,1103,south,ios,pro,organic,1,0
100334,112.34,7,16.54,2,619,northeast,ios,basic,organic,0,0
100335,152.26,13,12.83,1,1326,midwest,android,basic,paid,0,0
100336,124.29,8,7.9,1,1526,northeast,android,pro,partner,1,0
100337,66.62,13,21.19,1,945,midwest,android,basic,paid,0,0
100338,51.86,10,17.85,1,494,west,ios,pro,organic,1,0
100339,38.73,11,22.99,1,39,northeast,android,basic,organic,0,0
100340,141.04,15,24.83,1,1437,west,ios,basic,organic,0,0
100341,59.99,19,7.57,2,1051,midwest,ios,pro,sales,1,0
100342,141.29,17,7.58,0,644,midwest,android,basic,organic,0,0
100343,106.9,8,1.0,1,41,midwest,android,pro,organic,1,0
100344,99.88,11,18.59,1,1470,west,web,basic,sales,0,0
100345,76.95,17,17.28,1,1669,west,android,basic,organic,0,0
100346,111.78,12,14.49,0,881,west,ios,basic,sales,0,0
100347,87.44,9,7.87,1,503,northeast,web,pro,sales,1,0
100348,74.71,15,13.55,0,1126,midwest,ios,basic,partner,0,0
100349,113.06,12,14.92,3,1571,northeast,web,basic,organic,0,0
100350,82.82,12,17.91,2,1069,south,ios,business,partner,1,0
100351,59.26,7,15.36,0,51,south,web,basic,organic,0,0
100352,109.59,20,17.32,3,375,south,web,pro,organic,1,0
100353,85.7,20,13.38,3,202,northeast,web,basic,organic,0,0
100354,105.6,13,19.91,0,757,midwest,ios,basic,organic,0,0
100355,71.66,9,17.16,2,828,south,web,basic,sales,0,0
100356,44.47,10,8.07,3,977,northeast,android,basic,partner,0,0
100357,150.46,12,20.95,1,1372,south,ios,pro,,1,0
100358,143.68,12,20.13,2,228,midwest,android,basic,organic,0,0
100359,119.82,15,16.33,1,1698,south,android,basic,organic,0,0
100360,74.04,10,15.4,1,496,south,web,pro,organic,1,0
100361,77.19,10,22.29,0,952,midwest,android,pro,paid,1,0
100362,137.76,13,5.83,1,403,south,android,basic,organic,0,0
100363,75.26,15,20.21,2,659,northeast,android,basic,organic,0,0
100364,65.23,18,11.62,0,1503,west,ios,basic,organic,0,0
100365,155.4,13,19.48,2,108,midwest,android,business,paid,1,0
100366,86.28,5,14.6,2,885,west,android,pro,organic,1,0
100367,151.66,7,7.79,2,1063,south,android,pro,organic,1,0
100368,37.66,13,11.52,1,1038,west,android,basic,sales,0,0
100369,106.65,18,19.11,0,702,south,android,basic,partner,0,0
100370,162.56,14,12.95,0,698,west,android,basic,sales,0,0
100371,89.07,14,,3,1639,northeast,android,basic,paid,0,0
100372,78.5,10,10.86,2,456,south,ios,basic,paid,0,0
100373,45.96,14,17.21,0,879,northeast,web,basic,sales,0,0
100374,126.96,19,22.75,1,674,west,web,basic,paid,0,0
100375,60.28,15,,2,1384,midwest,web,basic,paid,0,0
100376,84.59,13,28.0,3,1456,south,web,basic,organic,0,0
100377,43.56,12,15.02,2,1531,midwest,android,basic,paid,0,0
100378,144.05,11,16.9,1,180,west,android,pro,sales,1,0
100379,129.58,10,11.82,1,203,midwest,web,pro,sales,1,0
100380,86.86,11,13.98,0,694,west,ios,basic,sales,0,0
100381,46.45,14,14.96,1,810,south,web,pro,paid,1,0
100382,143.29,16,8.75,0,141,west,ios,basic,paid,0,0
100383,74.83,14,9.97,1,1611,west,web,basic,organic,0,0
100384,48.21,9,19.92,0,1617,midwest,android,business,,1,0
100385,24.56,10,6.24,2,781,west,web,basic,sales,0,0
100386,64.75,18,16.21,2,1391,west,android,pro,paid,1,0
100387,35.63,12,12.15,0,1030,northeast,android,basic,organic,0,0
100388,65.58,20,9.2,2,1192,northeast,web,basic,organic,0,0
100389,114.8,9,23.86,0,1575,northeast,android,basic,organic,0,0
100390,74.49,11,9.23,0,192,midwest,ios,basic,organic,0,0
100391,100.8,17,8.35,0,441,west,ios,basic,organic,0,0
100392,61.96,16,13.07,4,787,west,android,basic,organic,0,0
100393,90.35,12,10.16,1,1613,south,android,basic,organic,0,0
100394,157.15,13,14.03,1,1077,south,android,basic,paid,0,0
100395,75.45,12,14.78,1,732,south,ios,basic,organic,0,0
100396,101.84,9,15.17,0,80,west,ios,basic,organic,0,0
100397,31.64,10,13.38,1,1079,south,web,basic,paid,0,0
100398,142.72,13,,1,507,northeast,android,basic,organic,0,0
100399,70.82,9,17.22,1,610,midwest,ios,pro,partner,1,0
100400,125.82,16,13.44,2,1792,northeast,ios,business,paid,1,0
100401,83.57,7,11.52,0,963,south,ios,basic,organic,0,0
100402,110.02,8,21.4,1,275,midwest,web,basic,sales,0,0
100403,112.16,14,13.39,2,117,northeast,android,business,organic,1,0
100404,71.71,16,19.46,1,717,northeast,android,pro,organic,1,0
100405,127.31,11,20.13,1,145,south,android,business,sales,1,0
100406,60.68,12,20.44,0,788,midwest,web,pro,organic,1,0
100407,116.01,12,17.46,1,764,midwest,ios,pro,sales,1,0
100408,73.95,10,14.0,2,1586,south,ios,basic,sales,0,0
100409,100.58,11,13.68,1,622,midwest,android,basic,organic,0,0
100410,71.37,12,12.78,0,518,midwest,web,pro,organic,1,0
100411,89.8,8,3.17,2,1119,west,android,basic,sales,0,0
100412,49.31,6,17.59,0,1161,midwest,android,pro,organic,1,0
100413,96.91,12,15.22,1,97,,web,business,partner,1,0
100414,89.59,5,18.13,3,178,west,ios,basic,paid,0,0
100415,68.55,11,13.41,1,326,midwest,android,basic,paid,0,0
100416,86.02,16,17.32,4,1405,west,android,business,organic,1,0
100417,92.82,8,7.11,1,400,midwest,web,pro,organic,1,0
100418,65.81,16,8.15,2,1787,midwest,ios,pro,partner,1,0
100419,83.36,16,1.62,1,809,west,android,pro,partner,1,0
100420,51.8,11,13.33,1,1682,west,web,business,paid,1,0
100421,172.45,9,10.14,2,466,west,android,basic,sales,0,0
100422,126.13,12,9.48,0,779,south,android,basic,organic,0,0
100423,97.83,12,15.67,1,273,west,ios,basic,organic,0,0
100424,130.2,9,11.87,1,1527,south,ios,basic,paid,0,0
100425,16.75,15,6.83,0,1087,west,android,pro,partner,1,0
100426,5.0,6,26.72,1,163,south,ios,basic,paid,0,1
100427,73.63,11,13.81,4,1346,south,web,pro,partner,1,0
