item_id,title,category,popularity,price_tier
item_0096,Fashion Through 96,fashion,0.642,4
item_0097,Fashion Little 97,fashion,0.473,3
item_0098,Beauty Hot 98,beauty,0.603,4
item_0099,Sports Force 99,sports,0.189,1
item_0100,Tech Level 100,tech,0.919,4
item_0101,Beauty Beautiful 101,beauty,0.803,3
item_0102,Sports Spring 102,sports,0.759,4
item_0103,Books Gas 103,books,0.772,2
item_0104,Fashion Line 104,fashion,0.285,3
item_0105,Tech Society 105,tech,0.962,3
item_0106,Books Visit 106,books,0.426,4
item_0107,Sports There 107,sports,0.31,4
item_0108,Food Weight 108,food,0.279,2
item_0109,Fashion Physical 109,fashion,0.95,2
item_0110,Books West 110,books,0.286,1
item_0111,Fitness Here 111,fitness,0.873,2
item_0112,Sports Evidence 112,sports,0.433,2
item_0113,Home Key 113,home,0.833,2
item_0114,Food Pull 114,food,0.75,2
item_0115,Tech Democrat 115,tech,0.111,4
item_0116,Sports Too 116,sports,0.374,4
item_0117,Home Song 117,home,0.117,3
item_0118,Sports Four 118,sports,0.175,4
item_0119,Sports Although 119,sports,0.559,4
item_0120,Books Out 120,books,0.701,3
item_0121,Tech Wonder 121,tech,0.711,1
item_0122,Food Determine 122,food,0.177,1
item_0123,Sports Mention 123,sports,0.31,4
item_0124,Fitness Hour 124,fitness,0.305,4
item_0125,Sports Month 125,sports,0.811,3
item_0126,Food Concern 126,food,0.519,2
item_0127,Fitness Pick 127,fitness,0.288,4
item_0128,Tech Time 128,tech,0.804,1
item_0129,Books Provide 129,books,0.446,4
item_0130,Food Vote 130,food,0.299,1
item_0131,Books Fund 131,books,0.969,3
item_0132,Sports Most 132,sports,0.821,4
item_0133,Tech Situation 133,tech,0.367,2
item_0134,Home Already 134,home,0.938,3
item_0135,Tech Outside 135,tech,0.982,3
item_0136,Home Particular 136,home,0.398,2
item_0137,Fashion Cost 137,fashion,0.329,1
item_0138,Food Top 138,food,0.793,3
item_0139,Beauty Huge 139,beauty,0.41,1
item_0140,Books Close 140,books,0.489,1
item_0141,Food Throughout 141,food,0.935,2
item_0142,Fitness Television 142,fitness,0.921,4
item_0143,Home Image 143,home,0.38,1
item_0144,Tech Necessary 144,tech,0.312,4
item_0145,Tech Song 145,tech,0.19,2
item_0146,Sports Mission 146,sports,0.648,1
item_0147,Fashion Call 147,fashion,0.41,2
item_0148,Tech Federal 148,tech,0.805,2
item_0149,Fashion Put 149,fashion,0.128,1
item_0150,Fashion Attention 150,fashion,0.154,1
item_0151,Fashion Billion 151,fashion,0.556,3
item_0152,Fitness Fill 152,fitness,0.419,1
item_0153,Fashion Peace 153,fashion,0.588,1
item_0154,Tech Play 154,tech,0.229,4
item_0155,Fitness Program 155,fitness,0.819,4
item_0156,Fashion Responsibility 156,fashion,0.561,4
item_0157,Tech Often 157,tech,0.115,3
item_0158,Fashion Tv 158,fashion,0.813,4
item_0159,Beauty Expert 159,beauty,0.791,3
item_0160,Fashion Current 160,fashion,0.823,1
item_0161,Books Hand 161,books,0.286,3
item_0162,Tech Economic 162,tech,0.593,3
item_0163,Food Approach 163,food,0.235,3
item_0164,Books Relate 164,books,0.441,4
item_0165,Books Whom 165,books,0.994,4
item_0166,Beauty Kind 166,beauty,0.686,1
item_0167,Fitness Big 167,fitness,0.381,1
item_0168,Sports Community 168,sports,0.695,4
item_0169,Tech Performance 169,tech,0.519,3
item_0170,Books Mouth 170,books,0.212,2
item_0171,Books Since 171,books,0.98,3
item_0172,Books Central 172,books,0.527,2
item_0173,Fitness Continue 173,fitness,0.169,4
item_0174,Food Newspaper 174,food,0.93,3
item_0175,Sports Pattern 175,sports,0.985,1
item_0176,Beauty Carry 176,beauty,0.923,4
item_0177,Sports Follow 177,sports,0.562,1
item_0178,Food High 178,food,0.806,4
item_0179,Fitness Simple 179,fitness,0.982,1
item_0180,Fitness Others 180,fitness,0.737,1
item_0181,Tech Today 181,tech,0.849,4
item_0182,Tech Coach 182,tech,0.51,4
item_0183,Beauty Less 183,beauty,0.914,4
item_0184,Fashion Fund 184,fashion,0.687,3
item_0185,Beauty Business 185,beauty,0.36,1
item_0186,Food Cover 186,food,0.703,4
item_0187,Tech Expect 187,tech,0.824,4
item_0188,Beauty Watch 188,beauty,0.444,3
item_0189,Beauty First 189,beauty,0.339,3
item_0190,Home Stay 190,home,0.573,1
item_0191,Tech Than 191,tech,0.801,3
item_0192,Books Particular 192,books,0.44,3
item_0193,Tech News 193,tech,0.699,2
item_0194,Books Seat 194,books,0.377,1
item_0195,Food Short 195,food,0.789,3
item_0196,Home Really 196,home,0.423,2
item_0197,Tech Letter 197,tech,0.754,3
item_0198,Beauty Piece 198,beauty,0.799,3
item_0199,Tech Occur 199,tech,0.95,2
item_0200,Food Home 200,food,0.333,3
item_0201,Books Letter 201,books,0.741,1
item_0202,Beauty Experience 202,beauty,0.584,1
item_0203,Food Company 203,food,0.485,3
item_0204,Fashion Wind 204,fashion,0.859,4
item_0205,Books Rather 205,books,0.543,3
item_0206,Food Professional 206,food,0.751,3
item_0207,Books Low 207,books,0.391,4
item_0208,Books Office 208,books,0.606,2
item_0209,Sports Hotel 209,sports,0.67,3
item_0210,Food Current 210,food,0.569,4
item_0211,Sports Medical 211,sports,0.712,2
item_0212,Tech Ok 212,tech,0.711,4
item_0213,Beauty Sister 213,beauty,0.626,3
item_0214,Tech Worker 214,tech,0.134,1
item_0215,Beauty Sort 215,beauty,0.31,3
item_0216,Fashion Player 216,fashion,0.612,4
item_0217,Sports Rule 217,sports,0.773,4
item_0218,Fashion Officer 218,fashion,0.839,2
item_0219,Books Case 219,books,0.85,2
item_0220,Books Fish 220,books,0.924,3
item_0221,Home Cover 221,home,0.397,3
item_0222,Food Receive 222,food,0.798,4
item_0223,Books American 223,books,0.612,4
item_0224,Books Show 224,books,0.267,4
item_0225,Beauty Nor 225,beauty,0.204,2
item_0226,Beauty Service 226,beauty,0.344,3
item_0227,Fitness Carry 227,fitness,0.504,2
item_0228,Beauty Environmental 228,beauty,0.499,2
item_0229,Sports Human 229,sports,0.37,3
item_0230,Fitness Study 230,fitness,0.236,2
item_0231,Books Stay 231,books,0.209,1
item_0232,Books Tree 232,books,0.212,2
item_0233,Beauty Back 233,beauty,0.931,1
item_0234,Home Hospital 234,home,0.731,3
item_0235,Food World 235,food,0.244,4
item_0236,Sports Protect 236,sports,0.515,2
item_0237,Food Election 237,food,0.682,4
item_0238,Sports Leader 238,sports,0.597,4
item_0239,Books Appear 239,books,0.585,2
item_0240,Food Analysis 240,food,0.775,2
item_0241,Books Executive 241,books,0.383,3
item_0242,Sports Environment 242,sports,0.273,3
item_0243,Home Report 243,home,0.248,4
item_0244,Sports Western 244,sports,0.465,3
item_0245,Beauty Apply 245,beauty,0.563,1
item_0246,Books Meet 246,books,0.125,1
item_0247,Sports Company 247,sports,0.908,2
item_0248,Fitness Simple 248,fitness,0.246,1
item_0249,Home Later 249,home,0.718,2
item_0250,Books Civil 250,books,0.914,3
item_0251,Sports News 251,sports,0.459,2
item_0252,Home Street 252,home,0.49,4
item_0253,Beauty Every 253,beauty,0.251,1
item_0254,Home Card 254,home,0.592,1
item_0255,Fashion So 255,fashion,0.143,2
item_0256,Home Sea 256,home,0.133,2
item_0257,Books Worry 257,books,0.693,3
item_0258,Home Think 258,home,0.911,3
item_0259,Tech Operation 259,tech,0.171,3
item_0260,Tech Wide 260,tech,0.82,1
item_0261,Tech Close 261,tech,0.928,2
item_0262,Tech During 262,tech,0.877,1
item_0263,Beauty Modern 263,beauty,0.792,1
item_0264,Food Budget 264,food,0.707,2
item_0265,Beauty Season 265,beauty,0.276,1
item_0266,Home Order 266,home,0.345,3
item_0267,Home Painting 267,home,0.48,1
item_0268,Sports Even 268,sports,0.525,3
item_0269,Books Although 269,books,0.983,1
item_0270,Home Decision 270,home,0.631,1
item_0271,Books Pm 271,books,0.623,2
item_0272,Sports Politics 272,sports,0.533,4
item_0273,Tech Always 273,tech,0.719,1
item_0274,Fitness Meet 274,fitness,0.513,1
item_0275,Fitness Growth 275,fitness,0.244,1
item_0276,Fashion Through 276,fashion,0.363,2
item_0277,Beauty Local 277,beauty,0.94,2
item_0278,Fashion Guess 278,fashion,0.237,3
item_0279,Sports Stuff 279,sports,0.147,1
item_0280,Fashion Read 280,fashion,0.775,1
item_0281,Fitness Reveal 281,fitness,0.613,4
item_0282,Beauty Someone 282,beauty,0.851,2
item_0283,Tech Start 283,tech,0.52,3
item_0284,Beauty Someone 284,beauty,0.905,3
item_0285,Beauty Show 285,beauty,0.847,2
item_0286,Home Level 286,home,0.122,4
item_0287,Food Position 287,food,0.795,2
item_0288,Home Receive 288,home,0.209,2
item_0289,Fashion Me 289,fashion,0.892,3
item_0290,Beauty Couple 290,beauty,0.755,2
item_0291,Fitness Read 291,fitness,0.562,4
item_0292,Home Leave 292,home,0.554,4
item_0293,Sports Once 293,sports,0.625,2
item_0294,Books After 294,books,0.806,2
item_0295,Fashion Garden 295,fashion,0.663,3
item_0296,Home Significant 296,home,0.431,4
item_0297,Books Democratic 297,books,0.77,3
item_0298,Home Total 298,home,0.694,4
item_0299,Food Environment 299,food,0.537,1
item_0300,Fashion Yes 300,fashion,0.318,1
item_0301,Fashion Song 301,fashion,0.166,1
item_0302,Beauty Top 302,beauty,0.206,1
item_0303,Fashion Pay 303,fashion,0.483,3
item_0304,Fashion Section 304,fashion,0.274,2
item_0305,Beauty House 305,beauty,0.418,3
item_0306,Tech Cut 306,tech,0.301,3
item_0307,Fitness Win 307,fitness,0.743,1
item_0308,Fashion Artist 308,fashion,0.73,3
item_0309,Sports Color 309,sports,0.494,4
item_0310,Beauty More 310,beauty,0.9,1
item_0311,Fashion Concern 311,fashion,0.851,2
item_0312,Fitness Treat 312,fitness,0.12,1
item_0313,Fitness East 313,fitness,0.928,1
item_0314,Fitness By 314,fitness,0.712,3
item_0315,Sports Those 315,sports,0.974,4
item_0316,Tech Power 316,tech,0.193,2
item_0317,Fashion Couple 317,fashion,0.839,3
item_0318,Fashion Once 318,fashion,0.269,3
item_0319,Books Trial 319,books,0.581,3
item_0320,Food Speech 320,food,0.694,3
item_0321,Fitness Pick 321,fitness,0.327,4
item_0322,Food Discussion 322,food,0.132,2
item_0323,Books Democratic 323,books,0.484,3
item_0324,Tech Respond 324,tech,0.231,4
item_0325,Food Prove 325,food,0.891,3
item_0326,Fitness True 326,fitness,0.65,2
item_0327,Sports Feel 327,sports,0.876,4
item_0328,Fitness Moment 328,fitness,0.631,1
item_0329,Beauty Country 329,beauty,0.512,2
item_0330,Beauty The 330,beauty,0.979,2
item_0331,Tech Somebody 331,tech,0.43,3
item_0332,Tech Different 332,tech,0.238,3
item_0333,Beauty Marriage 333,beauty,0.89,4
item_0334,Books Not 334,books,0.242,3
item_0335,Books Amount 335,books,0.101,3
item_0336,Fashion Likely 336,fashion,0.504,1
item_0337,Beauty Hot 337,beauty,0.682,1
item_0338,Beauty Describe 338,beauty,0.554,3
item_0339,Fashion Smile 339,fashion,0.982,1
item_0340,Beauty Capital 340,beauty,0.935,4
item_0341,Food First 341,food,0.157,1
item_0342,Home Note 342,home,0.662,1
item_0343,Home Thank 343,home,0.443,4
item_0344,Books Visit 344,books,0.779,4
item_0345,Tech Health 345,tech,0.778,1
item_0346,Tech Skin 346,tech,0.223,2
item_0347,Fitness Watch 347,fitness,0.179,1
item_0348,Sports Democrat 348,sports,0.696,1
item_0349,Tech Mouth 349,tech,0.275,2
item_0350,Fitness Effort 350,fitness,0.152,2
item_0351,Books Though 351,books,0.322,3
item_0352,Sports Part 352,sports,0.58,3
item_0353,Food End 353,food,0.369,4
item_0354,Sports Black 354,sports,0.146,4
item_0355,Sports Experience 355,sports,0.353,4
item_0356,Food Crime 356,food,0.395,1
item_0357,Home Want 357,home,0.274,4
item_0358,Tech Guy 358,tech,0.8,1
item_0359,Food Give 359,food,0.475,3
item_0360,Sports Shake 360,sports,0.754,4
item_0361,Fitness Less 361,fitness,0.33,1
item_0362,Sports Woman 362,sports,0.391,3
item_0363,Fashion Hope 363,fashion,0.464,2
item_0364,Fashion Still 364,fashion,0.981,1
item_0365,Fashion Different 365,fashion,0.588,4
item_0366,Tech Month 366,tech,0.427,4
item_0367,Tech Prepare 367,tech,0.558,3
item_0368,Sports Officer 368,sports,0.416,1
item_0369,Tech Quite 369,tech,0.121,2
item_0370,Home President 370,home,0.262,3
item_0371,Fitness Film 371,fitness,0.163,4
item_0372,Food Think 372,food,0.417,3
item_0373,Home Serious 373,home,0.366,4
item_0374,Tech Continue 374,tech,0.125,4
item_0375,Beauty Person 375,beauty,0.186,2
item_0376,Fashion Economic 376,fashion,0.606,1
item_0377,Sports School 377,sports,0.101,4
item_0378,Beauty Energy 378,beauty,0.769,1
item_0379,Beauty Heavy 379,beauty,0.11,2
item_0380,Home Toward 380,home,0.402,3
item_0381,Fitness Official 381,fitness,0.234,4
item_0382,Food Firm 382,food,0.594,3
item_0383,Food Close 383,food,0.904,4
item_0384,Books Camera 384,books,0.296,3
item_0385,Books Boy 385,books,0.121,3
item_0386,Home Tend 386,home,0.637,2
item_0387,Fitness National 387,fitness,0.713,2
item_0388,Fashion Positive 388,fashion,0.697,1
item_0389,Home Pay 389,home,0.952,2
item_0390,Books Clearly 390,books,0.384,3
item_0391,Food Happy 391,food,0.148,2
item_0392,Fitness Night 392,fitness,0.167,2
item_0393,Fitness Responsibility 393,fitness,0.511,1
item_0394,Tech North 394,tech,0.288,4
item_0395,Food Claim 395,food,0.469,4
item_0396,Home Morning 396,home,0.733,1
item_0397,Fitness Wide 397,fitness,0.284,1
item_0398,Home Team 398,home,0.506,4
item_0399,Food Young 399,food,0.655,4
item_0400,Sports Ground 400,sports,0.397,2
item_0401,Beauty Wide 401,beauty,0.123,1
item_0402,Tech Where 402,tech,0.122,1
item_0403,Fitness Season 403,fitness,0.911,3
item_0404,Books Unit 404,books,0.494,3
item_0405,Fashion Agree 405,fashion,0.698,2
item_0406,Books Rise 406,books,0.604,2
item_0407,Fitness Its 407,fitness,0.752,4
item_0408,Fitness Care 408,fitness,0.736,1
item_0409,Fashion Deal 409,fashion,0.701,2
item_0410,Home Truth 410,home,0.86,1
item_0411,Fitness Collection 411,fitness,0.701,3
item_0412,Home Radio 412,home,0.407,3
item_0413,Home Success 413,home,0.804,1
item_0414,Tech Name 414,tech,0.401,4
item_0415,Food Pretty 415,food,0.48,4
item_0416,Food Ground 416,food,0.546,2
item_0417,Food Spring 417,food,0.452,2
item_0418,Sports Cost 418,sports,0.137,4
item_0419,Fitness Crime 419,fitness,0.677,2
item_0420,Books Education 420,books,0.339,3
item_0421,Food Well 421,food,0.41,3
item_0422,Sports Behind 422,sports,0.731,4
item_0423,Beauty Natural 423,beauty,0.427,1
item_0424,Beauty Answer 424,beauty,0.697,4
item_0425,Beauty Off 425,beauty,0.75,4
item_0426,Sports Education 426,sports,0.247,1
item_0427,Books Something 427,books,0.178,4
item_0428,Sports Serious 428,sports,0.569,1
item_0429,Home New 429,home,0.291,2
item_0430,Fashion Serve 430,fashion,0.797,3
item_0431,Fashion Never 431,fashion,0.993,3
item_0432,Home Later 432,home,0.134,3
item_0433,Sports Down 433,sports,0.638,4
item_0434,Sports Bank 434,sports,0.539,1
item_0435,Tech Left 435,tech,0.479,1
item_0436,Beauty Or 436,beauty,0.886,2
item_0437,Tech Number 437,tech,0.247,1
item_0438,Tech Personal 438,tech,0.885,1
item_0439,Books Up 439,books,0.678,2
item_0440,Fashion Practice 440,fashion,0.795,4
item_0441,Home Recently 441,home,0.408,1
item_0442,Books Condition 442,books,0.113,1
item_0443,Fitness During 443,fitness,0.443,1
item_0444,Beauty Read 444,beauty,0.26,4
item_0445,Beauty Draw 445,beauty,0.569,1
item_0446,Fashion Kitchen 446,fashion,0.493,1
item_0447,Fitness Car 447,fitness,0.453,1
item_0448,Food No 448,food,0.928,3
item_0449,Fashion Each 449,fashion,0.234,3
item_0450,Home Tend 450,home,0.398,2
item_0451,Fitness Research 451,fitness,0.608,2
item_0452,Beauty Water 452,beauty,0.734,4
item_0453,Sports Fish 453,sports,0.155,4
item_0454,Tech Everything 454,tech,0.284,4
item_0455,Sports Sound 455,sports,0.485,3
item_0456,Books Cup 456,books,0.812,4
item_0457,Books Real 457,books,0.113,2
item_0458,Beauty Television 458,beauty,0.653,4
item_0459,Books Control 459,books,0.409,4
item_0460,Food They 460,food,0.721,4
item_0461,Tech Great 461,tech,0.41,4
item_0462,Food Have 462,food,0.658,2
item_0463,Books Late 463,books,0.671,3
item_0464,Fitness Who 464,fitness,0.141,2
item_0465,Home Ago 465,home,0.866,1
item_0466,Fitness Democrat 466,fitness,0.846,1
item_0467,Fashion Different 467,fashion,0.118,4
item_0468,Fitness Ok 468,fitness,0.549,1
item_0469,Sports Cultural 469,sports,0.586,4
item_0470,Tech Long 470,tech,0.201,1
item_0471,Sports Often 471,sports,0.441,2
item_0472,Fashion But 472,fashion,0.458,4
item_0473,Food South 473,food,0.933,3
item_0474,Fashion Arm 474,fashion,0.268,2
item_0475,Fitness Important 475,fitness,0.66,1
item_0476,Home Left 476,home,0.542,3
item_0477,Tech Decade 477,tech,0.147,2
item_0478,Sports Consider 478,sports,0.786,2
item_0479,Beauty Tonight 479,beauty,0.951,2
item_0480,Fashion Democrat 480,fashion,0.568,1
item_0481,Home Book 481,home,0.171,3
item_0482,Home Technology 482,home,0.483,4
item_0483,Tech Exist 483,tech,0.549,2
item_0484,Beauty Lay 484,beauty,0.669,4
item_0485,Fashion Travel 485,fashion,0.944,3
item_0486,Home Administration 486,home,0.586,2
item_0487,Fashion Kitchen 487,fashion,0.534,2
item_0488,Sports Bar 488,sports,0.232,4
item_0489,Sports Control 489,sports,0.803,4
item_0490,Tech Project 490,tech,0.351,1
item_0491,Beauty Involve 491,beauty,0.21,2
item_0492,Fitness More 492,fitness,0.704,2
item_0493,Tech Provide 493,tech,0.443,2
item_0494,Sports Positive 494,sports,0.836,3
item_0495,Home Industry 495,home,0.157,3
item_0496,Beauty Treatment 496,beauty,0.157,2
item_0497,Food Another 497,food,0.351,1
item_0498,Fashion Send 498,fashion,0.332,1
item_0499,Fitness Time 499,fitness,0.254,2
item_0500,Sports Finally 500,sports,0.698,4
item_0501,Beauty Listen 501,beauty,0.798,1
item_0502,Food Fire 502,food,0.162,1
item_0503,Fitness Doctor 503,fitness,0.33,4
item_0504,Home Require 504,home,0.321,1
item_0505,Fashion Shoulder 505,fashion,0.801,3
item_0506,Beauty Suddenly 506,beauty,0.94,4
item_0507,Tech Deal 507,tech,0.918,4
item_0508,Books Answer 508,books,0.67,2
item_0509,Home Support 509,home,0.405,1
item_0510,Beauty Smile 510,beauty,0.896,2
item_0511,Home Suggest 511,home,0.65,4
item_0512,Sports Hit 512,sports,0.741,2
item_0513,Books Respond 513,books,0.419,3
item_0514,Beauty Likely 514,beauty,0.612,4
item_0515,Beauty Treatment 515,beauty,0.441,4
item_0516,Home Despite 516,home,0.51,3
item_0517,Food National 517,food,0.816,3
item_0518,Fitness Floor 518,fitness,0.176,1
item_0519,Home Several 519,home,0.765,1
item_0520,Fitness These 520,fitness,0.972,2
item_0521,Fitness Ground 521,fitness,0.246,2
item_0522,Sports Across 522,sports,0.578,2
item_0523,Fashion Arrive 523,fashion,0.991,4
item_0524,Food Character 524,food,0.214,2
item_0525,Fashion Move 525,fashion,0.666,3
item_0526,Beauty Attention 526,beauty,0.218,4
item_0527,Fashion Quickly 527,fashion,0.737,4
item_0528,Fashion Sign 528,fashion,0.837,3
item_0529,Sports Thus 529,sports,0.849,3
item_0530,Fashion Now 530,fashion,0.247,3
item_0531,Food Tell 531,food,0.254,3
item_0532,Food Program 532,food,0.859,3
item_0533,Beauty And 533,beauty,0.336,4
item_0534,Food Think 534,food,0.306,4
item_0535,Food Next 535,food,0.633,2
item_0536,Fashion History 536,fashion,0.68,4
item_0537,Food Thank 537,food,0.102,2
item_0538,Fashion International 538,fashion,0.909,1
item_0539,Beauty Deal 539,beauty,0.687,4
item_0540,Books Save 540,books,0.433,3
item_0541,Beauty Guess 541,beauty,0.886,3
item_0542,Tech Time 542,tech,0.463,1
item_0543,Fashion Experience 543,fashion,0.675,4
item_0544,Food Win 544,food,0.17,3
item_0545,Fashion Than 545,fashion,0.371,2
item_0546,Fitness Four 546,fitness,0.6,1
item_0547,Books Fund 547,books,0.861,1
item_0548,Tech Future 548,tech,0.667,2
item_0549,Books End 549,books,0.253,2
item_0550,Sports Nor 550,sports,0.44,4
item_0551,Fitness Fill 551,fitness,0.447,3
item_0552,Fitness Push 552,fitness,0.966,3
item_0553,Sports View 553,sports,0.533,3
item_0554,Sports Politics 554,sports,0.133,2
item_0555,Beauty In 555,beauty,0.335,3
item_0556,Home Throw 556,home,0.941,1
item_0557,Beauty Throughout 557,beauty,0.275,4
item_0558,Fashion Big 558,fashion,0.832,3
item_0559,Fitness It 559,fitness,0.726,2
item_0560,Books Campaign 560,books,0.261,1
item_0561,Fitness Yourself 561,fitness,0.485,3
item_0562,Sports Best 562,sports,0.521,1
item_0563,Fitness Financial 563,fitness,0.319,3
item_0564,Food Yourself 564,food,0.132,1
item_0565,Tech Standard 565,tech,0.311,3
item_0566,Home Record 566,home,0.396,2
item_0567,Beauty Animal 567,beauty,0.978,2
item_0568,Books Need 568,books,0.709,4
item_0569,Fashion Scientist 569,fashion,0.451,2
item_0570,Fashion Economy 570,fashion,0.112,4
item_0571,Fitness Dog 571,fitness,0.88,3
item_0572,Sports Institution 572,sports,0.253,2
item_0573,Tech Political 573,tech,0.893,1
item_0574,Books Yet 574,books,0.539,2
item_0575,Books Need 575,books,0.76,4
item_0576,Fitness Let 576,fitness,0.244,1
item_0577,Sports Down 577,sports,0.77,4
item_0578,Fitness Six 578,fitness,0.818,3
item_0579,Home Administration 579,home,0.156,4
item_0580,Fashion Account 580,fashion,0.881,1
item_0581,Beauty Which 581,beauty,0.714,2
item_0582,Tech Quite 582,tech,0.312,1
item_0583,Tech Last 583,tech,0.935,2
item_0584,Beauty Attention 584,beauty,0.498,4
item_0585,Tech Region 585,tech,0.288,3
item_0586,Tech Often 586,tech,0.494,1
item_0587,Tech Candidate 587,tech,0.986,2
item_0588,Books Challenge 588,books,0.823,2
item_0589,Fitness Home 589,fitness,0.269,3
item_0590,Fitness Wind 590,fitness,0.344,2
item_0591,Beauty Goal 591,beauty,0.116,3
item_0592,Beauty Forget 592,beauty,0.879,3
item_0593,Food Alone 593,food,0.386,3
item_0594,Sports Show 594,sports,0.416,3
item_0595,Fashion Morning 595,fashion,0.942,3
item_0596,Beauty Success 596,beauty,0.854,2
item_0597,Tech Pressure 597,tech,0.927,2
item_0598,Tech Girl 598,tech,0.982,2
item_0599,Home Technology 599,home,0.298,1
item_0600,Books Tax 600,books,0.462,3
item_0601,Home Poor 601,home,0.377,1
item_0602,Beauty Second 602,beauty,0.133,1
item_0603,Fitness Job 603,fitness,0.95,1
item_0604,Sports Indeed 604,sports,0.701,3
item_0605,Fashion Necessary 605,fashion,0.422,1
item_0606,Books Chance 606,books,0.623,3
item_0607,Beauty Check 607,beauty,0.694,4
item_0608,Food Drive 608,food,0.673,4
item_0609,Home Foot 609,home,0.163,2
item_0610,Fitness Professional 610,fitness,0.157,4
item_0611,Fashion Garden 611,fashion,0.489,2
item_0612,Beauty Service 612,beauty,0.808,3
item_0613,Sports Determine 613,sports,0.907,2
item_0614,Beauty Movement 614,beauty,0.52,2
item_0615,Home Allow 615,home,0.872,4
